refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"20250101","2025","1","202501","498","MDA","Rep. of Moldo"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","18","false","5","u","18","false","65","false","0","false","12872",,"12872","0","false","true",
"20250101","2025","1","202501","499","MNE","Monteneg"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","12.53","false","12.53","false","0","false","3418.283",,"3418.283","0","false","true",
"20250101","2025","1","202501","504","MAR","Moroc"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","837.13","false","837.13","false","0","false","433466.503",,"433466.503","0","true","false",
"20250101","2025","1","202501","516","NAM","Namib"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","53.654","true","-1","N/A","0","false","6827.43","false","0","false","58757.878","56840.255","58757.878","2","false","true",
"20250101","2025","1","202501","528","NLD","Netherlan"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","892114","false","892114","false","0","false","228063694.327",,"228063694.327","0","true","false",
"20250101","2025","1","202501","554","NZL","New Zeala"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","18033.849","true","-1","N/A","0","false","19747.698","true","0","false","7387023.365","7037438.371","7387023.365","6","true","false",
"20250101","2025","1","202501","566","NGA","Niger"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","14301","false","14301","false","0","false","883923.223",,"883923.223","0","false","true",
"20250101","2025","1","202501","579","NOR","Norw"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5543","false","5","u","5543","false","10907","false","0","false","7107418.573",,"7107418.573","0","false","true",
"20250101","2025","1","202501","586","PAK","Pakist"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","114","false","5","u","114","false","243.075","true","0","false","90927.258",,"90927.258","4","true","false",
"20250101","2025","1","202501","591","PAN","Pana"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","5313","false","5313","false","5313","false","647734",,"647734","0","false","true",
